user_story_id,story_text,moscow_priority,importance_score,stakeholder_role,project_stage,iteration_count,feedback,sentiment,timeline_prediction,budget_prediction,actual_timeline,actual_budget,team_skills
1,"As a manager, I must deploy the software in order to enhance usability.",Won't,9,Product Owner,Testing,5,This part of the system needs a complete overhaul.,Negative,87.71,47283.42,88.29,47633.07,"{'developer': 'expert', 'tester': 'intermediate', 'manager': 'intermediate', 'designer': 'beginner'}"
2,"As a tester, I want to test the application thoroughly so that satisfy clients.",Should,3,Product Owner,Testing,1,"The interface is user-friendly, but performance needs improvement.",Neutral,56.04,28849.26,52.47,29916.45,"{'developer': 'beginner', 'tester': 'intermediate', 'manager': 'intermediate', 'designer': 'beginner'}"
3,"As a developer, I am required to design the interface to achieve meet deadlines.",Must,5,Tester,Deployment,1,We are satisfied with the current functionality.,Neutral,72.57,39500.64,71.15,40367.77,"{'developer': 'expert', 'tester': 'expert', 'manager': 'intermediate', 'designer': 'intermediate'}"
4,"As a manager, I wish to plan the sprint so I can ensure quality.",Could,3,Manager,Deployment,2,We are satisfied with the current functionality.,Neutral,61.46,23795.69,70.73,23112.48,"{'developer': 'beginner', 'tester': 'intermediate', 'manager': 'expert', 'designer': 'expert'}"
5,"As a manager, I am required to test the application thoroughly to achieve ensure quality.",Should,6,Tester,Sprint Planning,1,"The interface is user-friendly, but performance needs improvement.",Neutral,95.56,18473.43,102.68,19514.6,"{'developer': 'beginner', 'tester': 'expert', 'manager': 'intermediate', 'designer': 'intermediate'}"
6,"As a stakeholder, I want to deploy the software so that satisfy clients.",Won't,8,Tester,Sprint Planning,3,"The design aligns well with our goals, but testing needs more focus.",Neutral,57.77,27698.96,53.23,29613.88,"{'developer': 'intermediate', 'tester': 'intermediate', 'manager': 'intermediate', 'designer': 'beginner'}"
7,"As a tester, I am required to test the application thoroughly to achieve ensure quality.",Should,7,Developer,Deployment,2,We are satisfied with the current functionality.,Neutral,66.39,15043.12,74.44,16518.16,"{'developer': 'intermediate', 'tester': 'expert', 'manager': 'intermediate', 'designer': 'expert'}"
8,"As a product owner, I am required to review requirements to achieve deliver value.",Should,1,Developer,Deployment,2,We are satisfied with the current functionality.,Neutral,111.75,33350.29,120.96,34303.95,"{'developer': 'beginner', 'tester': 'intermediate', 'manager': 'expert', 'designer': 'intermediate'}"
9,"As a manager, I need manage tasks effectively to ensure quality.",Should,1,Product Owner,Development,5,"The design aligns well with our goals, but testing needs more focus.",Neutral,22.01,14688.16,17.35,16508.69,"{'developer': 'expert', 'tester': 'expert', 'manager': 'expert', 'designer': 'beginner'}"
10,"As a tester, I must design the interface in order to achieve business goals.",Should,2,Tester,Development,1,We are satisfied with the current functionality.,Neutral,80.68,21530.96,87.13,23266.47,"{'developer': 'intermediate', 'tester': 'intermediate', 'manager': 'intermediate', 'designer': 'beginner'}"
11,"As a developer, I am required to design the interface to achieve satisfy clients.",Must,6,Tester,Development,3,We are satisfied with the current functionality.,Neutral,61.68,23207.97,56.98,23470.52,"{'developer': 'beginner', 'tester': 'expert', 'manager': 'intermediate', 'designer': 'intermediate'}"
12,"As a product owner, I wish to deploy the software so I can achieve business goals.",Won't,2,Developer,Sprint Planning,1,This part of the system needs a complete overhaul.,Negative,31.26,13729.37,39.78,15647.64,"{'developer': 'beginner', 'tester': 'beginner', 'manager': 'expert', 'designer': 'intermediate'}"
13,"As a designer, I must review requirements in order to ensure quality.",Must,2,Developer,Deployment,4,The feature works great but could use some improvement.,Positive,103.33,54726.04,107.13,55445.78,"{'developer': 'intermediate', 'tester': 'intermediate', 'manager': 'expert', 'designer': 'expert'}"
14,"As a stakeholder, I need use advanced tools to enhance usability.",Won't,2,Manager,Sprint Planning,1,This part of the system needs a complete overhaul.,Negative,93.09,48906.06,91.29,49306.45,"{'developer': 'beginner', 'tester': 'expert', 'manager': 'expert', 'designer': 'expert'}"
15,"As a tester, I am required to review requirements to achieve deliver value.",Should,10,Tester,Deployment,3,"Not satisfied with the outcome, requires a fix.",Neutral,80.94,14603.96,83.12,16557.3,"{'developer': 'expert', 'tester': 'expert', 'manager': 'expert', 'designer': 'beginner'}"
16,"As a product owner, I need access the test environment to satisfy clients.",Should,2,Tester,Deployment,3,"The design aligns well with our goals, but testing needs more focus.",Neutral,33.78,18317.8,29.68,17902.05,"{'developer': 'expert', 'tester': 'expert', 'manager': 'intermediate', 'designer': 'expert'}"
17,"As a manager, I am required to create detailed reports to achieve meet deadlines.",Must,8,Developer,Sprint Planning,3,The feature works great but could use some improvement.,Positive,92.15,20986.99,100.78,21097.77,"{'developer': 'intermediate', 'tester': 'intermediate', 'manager': 'expert', 'designer': 'beginner'}"
18,"As a product owner, I must test the application thoroughly in order to enhance usability.",Should,8,Tester,Sprint Planning,2,This part of the system needs a complete overhaul.,Negative,36.95,15649.96,43.93,15439.54,"{'developer': 'intermediate', 'tester': 'expert', 'manager': 'intermediate', 'designer': 'expert'}"
19,"As a designer, I need collaborate with the team to enhance usability.",Must,1,Product Owner,Testing,3,"Not satisfied with the outcome, requires a fix.",Neutral,66.6,18787.84,69.78,18511.96,"{'developer': 'intermediate', 'tester': 'beginner', 'manager': 'intermediate', 'designer': 'intermediate'}"
20,"As a product owner, I need review the user stories to achieve business goals.",Should,6,Developer,Sprint Planning,5,"The design aligns well with our goals, but testing needs more focus.",Neutral,99.53,55379.79,94.94,56890.84,"{'developer': 'beginner', 'tester': 'intermediate', 'manager': 'intermediate', 'designer': 'expert'}"
21,"As a designer, I want to review requirements so that satisfy clients.",Must,5,Tester,Sprint Planning,2,We are satisfied with the current functionality.,Neutral,112.79,22247.76,109.57,21831.26,"{'developer': 'beginner', 'tester': 'beginner', 'manager': 'expert', 'designer': 'beginner'}"
22,"As a stakeholder, I am required to create detailed reports to achieve ensure quality.",Must,9,Tester,Development,4,This part of the system needs a complete overhaul.,Negative,105.12,41009.89,107.24,40854.11,"{'developer': 'expert', 'tester': 'beginner', 'manager': 'intermediate', 'designer': 'expert'}"
23,"As a manager, I want to deploy the software so that enhance usability.",Won't,9,Tester,Sprint Planning,4,This part of the system needs a complete overhaul.,Negative,97.83,55591.09,103.6,55804.27,"{'developer': 'intermediate', 'tester': 'beginner', 'manager': 'expert', 'designer': 'beginner'}"
24,"As a designer, I need review the user stories to satisfy clients.",Must,9,Product Owner,Deployment,1,"Not satisfied with the outcome, requires a fix.",Neutral,18.49,10563.13,28.32,10747.88,"{'developer': 'expert', 'tester': 'intermediate', 'manager': 'intermediate', 'designer': 'expert'}"
25,"As a developer, I need access the test environment to ensure quality.",Should,7,Developer,Testing,4,We are satisfied with the current functionality.,Neutral,56.47,34476.73,58.33,34833.33,"{'developer': 'intermediate', 'tester': 'beginner', 'manager': 'intermediate', 'designer': 'expert'}"
26,"As a stakeholder, I must plan the sprint in order to deliver value.",Could,10,Developer,Development,3,This part of the system needs a complete overhaul.,Negative,18.28,13073.03,17.99,12427.17,"{'developer': 'expert', 'tester': 'expert', 'manager': 'intermediate', 'designer': 'expert'}"
27,"As a stakeholder, I am required to review requirements to achieve deliver value.",Should,4,Product Owner,Development,1,"The design aligns well with our goals, but testing needs more focus.",Neutral,114.55,55418.06,118.07,56070.02,"{'developer': 'beginner', 'tester': 'intermediate', 'manager': 'intermediate', 'designer': 'beginner'}"
28,"As a designer, I am required to create detailed reports to achieve ensure quality.",Must,6,Developer,Testing,5,"The design aligns well with our goals, but testing needs more focus.",Neutral,18.01,18649.16,22.68,19381.53,"{'developer': 'beginner', 'tester': 'expert', 'manager': 'expert', 'designer': 'beginner'}"
29,"As a product owner, I must create detailed reports in order to meet deadlines.",Must,7,Developer,Deployment,4,"The design aligns well with our goals, but testing needs more focus.",Neutral,79.7,45347.24,77.38,45373.74,"{'developer': 'expert', 'tester': 'intermediate', 'manager': 'expert', 'designer': 'beginner'}"
30,"As a developer, I want to test the application thoroughly so that ensure quality.",Should,9,Tester,Sprint Planning,1,"The design aligns well with our goals, but testing needs more focus.",Neutral,104.16,40637.5,109.1,40980.46,"{'developer': 'expert', 'tester': 'beginner', 'manager': 'expert', 'designer': 'intermediate'}"
31,"As a tester, I want to design the interface so that enhance usability.",Should,8,Product Owner,Testing,4,"Not satisfied with the outcome, requires a fix.",Neutral,2.58,17090.49,5.92,16901.65,"{'developer': 'beginner', 'tester': 'beginner', 'manager': 'intermediate', 'designer': 'expert'}"
32,"As a developer, I want to review requirements so that satisfy clients.",Should,10,Manager,Testing,3,Excellent implementation! Great work.,Neutral,55.77,33466.75,60.33,33195.1,"{'developer': 'intermediate', 'tester': 'intermediate', 'manager': 'expert', 'designer': 'intermediate'}"
33,"As a manager, I want to test the application thoroughly so that achieve business goals.",Should,5,Developer,Development,5,The feature works great but could use some improvement.,Positive,49.0,29928.54,45.99,29192.89,"{'developer': 'intermediate', 'tester': 'expert', 'manager': 'expert', 'designer': 'beginner'}"
34,"As a product owner, I must deploy the software in order to achieve business goals.",Won't,7,Product Owner,Development,1,We are satisfied with the current functionality.,Neutral,130.1,52894.23,132.01,54321.99,"{'developer': 'expert', 'tester': 'beginner', 'manager': 'intermediate', 'designer': 'beginner'}"
35,"As a manager, I need validate the design to satisfy clients.",Must,5,Tester,Development,1,We are satisfied with the current functionality.,Neutral,42.71,10532.23,46.6,12267.66,"{'developer': 'expert', 'tester': 'beginner', 'manager': 'expert', 'designer': 'beginner'}"
36,"As a stakeholder, I wish to create detailed reports so I can achieve business goals.",Must,9,Product Owner,Testing,2,We are satisfied with the current functionality.,Neutral,56.94,11489.81,53.37,11965.97,"{'developer': 'expert', 'tester': 'beginner', 'manager': 'expert', 'designer': 'beginner'}"
37,"As a stakeholder, I must create detailed reports in order to satisfy clients.",Must,8,Product Owner,Development,1,"Not satisfied with the outcome, requires a fix.",Neutral,72.57,12720.66,75.25,12818.92,"{'developer': 'beginner', 'tester': 'intermediate', 'manager': 'intermediate', 'designer': 'expert'}"
38,"As a designer, I need manage tasks effectively to ensure quality.",Must,5,Manager,Development,1,"The interface is user-friendly, but performance needs improvement.",Neutral,58.49,23006.52,60.4,22101.33,"{'developer': 'expert', 'tester': 'expert', 'manager': 'intermediate', 'designer': 'intermediate'}"
39,"As a product owner, I wish to test the application thoroughly so I can achieve business goals.",Should,10,Manager,Sprint Planning,3,We are satisfied with the current functionality.,Neutral,71.82,17427.53,75.19,17911.38,"{'developer': 'beginner', 'tester': 'intermediate', 'manager': 'intermediate', 'designer': 'intermediate'}"
40,"As a manager, I must create detailed reports in order to achieve business goals.",Must,1,Manager,Development,1,"The interface is user-friendly, but performance needs improvement.",Neutral,92.28,31863.52,98.88,31172.56,"{'developer': 'beginner', 'tester': 'beginner', 'manager': 'expert', 'designer': 'intermediate'}"
41,"As a manager, I must review requirements in order to satisfy clients.",Should,4,Manager,Deployment,4,"Not satisfied with the outcome, requires a fix.",Neutral,69.32,19986.13,78.22,19988.28,"{'developer': 'expert', 'tester': 'intermediate', 'manager': 'intermediate', 'designer': 'beginner'}"
42,"As a stakeholder, I must create detailed reports in order to deliver value.",Must,2,Manager,Deployment,4,"The design aligns well with our goals, but testing needs more focus.",Neutral,36.34,13103.18,33.25,14756.86,"{'developer': 'intermediate', 'tester': 'intermediate', 'manager': 'expert', 'designer': 'intermediate'}"
43,"As a developer, I need review the user stories to deliver value.",Should,8,Tester,Development,4,Excellent implementation! Great work.,Neutral,58.51,26851.97,63.46,25895.93,"{'developer': 'beginner', 'tester': 'beginner', 'manager': 'intermediate', 'designer': 'expert'}"
44,"As a developer, I am required to create detailed reports to achieve enhance usability.",Must,10,Product Owner,Development,4,Excellent implementation! Great work.,Neutral,53.26,16437.77,51.94,16669.12,"{'developer': 'beginner', 'tester': 'intermediate', 'manager': 'expert', 'designer': 'intermediate'}"
45,"As a stakeholder, I am required to review requirements to achieve deliver value.",Should,3,Developer,Development,4,The feature works great but could use some improvement.,Positive,51.1,23061.33,52.16,23167.25,"{'developer': 'intermediate', 'tester': 'beginner', 'manager': 'expert', 'designer': 'beginner'}"
46,"As a product owner, I am required to design the interface to achieve deliver value.",Must,8,Tester,Deployment,1,The feature works great but could use some improvement.,Positive,53.6,27050.27,52.89,28023.38,"{'developer': 'expert', 'tester': 'intermediate', 'manager': 'expert', 'designer': 'expert'}"
47,"As a tester, I need collaborate with the team to enhance usability.",Should,10,Product Owner,Deployment,4,This part of the system needs a complete overhaul.,Negative,110.71,34923.66,110.83,36588.85,"{'developer': 'expert', 'tester': 'intermediate', 'manager': 'intermediate', 'designer': 'beginner'}"
48,"As a developer, I want to deploy the software so that achieve business goals.",Won't,9,Product Owner,Testing,5,"Not satisfied with the outcome, requires a fix.",Neutral,57.65,48383.96,52.9,48519.47,"{'developer': 'beginner', 'tester': 'intermediate', 'manager': 'intermediate', 'designer': 'beginner'}"
49,"As a manager, I am required to review requirements to achieve satisfy clients.",Should,9,Product Owner,Development,3,"The design aligns well with our goals, but testing needs more focus.",Neutral,78.69,18174.51,87.22,19019.67,"{'developer': 'beginner', 'tester': 'expert', 'manager': 'expert', 'designer': 'expert'}"
50,"As a product owner, I am required to review requirements to achieve deliver value.",Should,6,Manager,Sprint Planning,5,"Not satisfied with the outcome, requires a fix.",Neutral,7.75,10186.08,7.88,12005.49,"{'developer': 'expert', 'tester': 'expert', 'manager': 'intermediate', 'designer': 'expert'}"
51,"As a designer, I am required to design the interface to achieve satisfy clients.",Must,9,Developer,Sprint Planning,3,We are satisfied with the current functionality.,Neutral,96.5,54186.09,100.2,53812.58,"{'developer': 'expert', 'tester': 'intermediate', 'manager': 'expert', 'designer': 'intermediate'}"
52,"As a designer, I wish to review requirements so I can enhance usability.",Must,6,Manager,Testing,4,We are satisfied with the current functionality.,Neutral,8.32,10616.59,8.31,10501.09,"{'developer': 'expert', 'tester': 'beginner', 'manager': 'intermediate', 'designer': 'intermediate'}"
53,"As a manager, I need validate the design to enhance usability.",Must,2,Tester,Development,4,Excellent implementation! Great work.,Neutral,38.74,13460.96,45.06,13330.89,"{'developer': 'beginner', 'tester': 'beginner', 'manager': 'expert', 'designer': 'intermediate'}"
54,"As a tester, I must design the interface in order to ensure quality.",Should,10,Developer,Development,1,Excellent implementation! Great work.,Neutral,27.7,10515.64,28.25,11634.63,"{'developer': 'expert', 'tester': 'intermediate', 'manager': 'intermediate', 'designer': 'beginner'}"
55,"As a manager, I am required to plan the sprint to achieve meet deadlines.",Could,7,Product Owner,Deployment,4,"Not satisfied with the outcome, requires a fix.",Neutral,6.45,14055.07,4.36,16027.38,"{'developer': 'expert', 'tester': 'intermediate', 'manager': 'expert', 'designer': 'beginner'}"
56,"As a tester, I am required to deploy the software to achieve ensure quality.",Should,8,Product Owner,Testing,2,This part of the system needs a complete overhaul.,Negative,55.0,18136.62,60.37,17634.96,"{'developer': 'expert', 'tester': 'intermediate', 'manager': 'intermediate', 'designer': 'expert'}"
57,"As a designer, I want to create detailed reports so that achieve business goals.",Must,3,Developer,Testing,2,"The interface is user-friendly, but performance needs improvement.",Neutral,23.56,21571.76,32.92,23082.55,"{'developer': 'beginner', 'tester': 'intermediate', 'manager': 'expert', 'designer': 'intermediate'}"
58,"As a stakeholder, I must design the interface in order to ensure quality.",Must,10,Product Owner,Testing,2,This part of the system needs a complete overhaul.,Negative,101.66,22984.94,103.93,24190.34,"{'developer': 'expert', 'tester': 'beginner', 'manager': 'expert', 'designer': 'expert'}"
59,"As a designer, I am required to deploy the software to achieve satisfy clients.",Won't,2,Product Owner,Development,1,This part of the system needs a complete overhaul.,Negative,58.84,30564.79,60.26,31178.86,"{'developer': 'intermediate', 'tester': 'expert', 'manager': 'intermediate', 'designer': 'beginner'}"
60,"As a manager, I must review requirements in order to achieve business goals.",Should,10,Manager,Testing,3,This part of the system needs a complete overhaul.,Negative,25.24,19636.47,24.89,19467.69,"{'developer': 'intermediate', 'tester': 'beginner', 'manager': 'intermediate', 'designer': 'beginner'}"
61,"As a product owner, I need manage tasks effectively to satisfy clients.",Should,6,Developer,Deployment,3,"The interface is user-friendly, but performance needs improvement.",Neutral,60.45,25669.18,66.57,25721.84,"{'developer': 'intermediate', 'tester': 'beginner', 'manager': 'intermediate', 'designer': 'intermediate'}"
